team,unspsc
Facility Management,Scissor lift or lift table
Facility Management,Forklift or elevator accessories or supplies
Facility Management,Lawnmowers
Facility Management,Floor sweepers
Facility Management,Water and wastewater treatment supply and disposal
Facility Management,Waste containers and accessories
Facility Management,Refuse disposal and treatment
Facility Management,Refuse collection and disposal
Facility Management,Garbage collection or destruction or processing or disposal
Facility Management,Nonhazardous waste disposal
Facility Management,Liquid waste treatment
Facility Management,Hazardous waste disposal
Facility Management,Medical waste disposal
Facility Management,Acid waste collection or disposal
Facility Management,Chemical detoxification
Facility Management,Hazardous waste water disposal
Facility Management,Landfill services
Facility Management,Waste to fuel blending services
Facility Management,Waste incineration services
Facility Management,Recycling of solvents
Facility Management,Recycling of used oil
Facility Management,Refuse disposal and treatment fees
Facility Management,Labor fee
Facility Management,Toxic and hazardous waste cleanup
Facility Management,Environmental law advisory services
Facility Management,Environmental auditing
Facility Management,Water and wastewater treatment supply and disposal
Facility Management,Industrial Cleaning Services
Facility Management,Disinfection or deodorizing services
Facility Management,Asbestos removal or encapsulation
Facility Management,Lead based paint abatement or encapsulation
Facility Management,Mold abatement service
Facility Management,Environmental Impact Assessment EIA services
Facility Management,Environmental monitoring
Facility Management,Environmental advisory services
Facility Management,Air pollution monitoring or measurement services
Facility Management,Noise pollution monitoring services
Facility Management,Toxic substances monitoring services
Facility Management,Equipment test or calibration
Facility Management,Energy or utility consulting services
Facility Management,Electric utilities
Facility Management,Supply of natural gas
Facility Management,Power sources
Facility Management,Steam generators
Facility Management,Water and sewer utilities
Facility Management,Capital asset disposal or sale service
Facility Management,Byproduct disposal or sale service
Facility Management,Excess or obsolete non capital material disposal or sale service
Facility Management,Undefined - No Strategy Exists
Industrial Supplies,Manufacturing equipment repair services
Industrial Supplies,Plastic injection molds
Industrial Supplies,Metal forming dies and tooling
Industrial Supplies,Stamping die
Industrial Supplies,Plastic high precision machining
Industrial Supplies,Steel standard precision machining
Industrial Supplies,Professional procurement services
Industrial Supplies,Alcohol solvents
Industrial Supplies,Cutting oil
Industrial Supplies,Hydraulic oil
Industrial Supplies,General purpose lubricants
Industrial Supplies,Urethane waterproof coating
Industrial Supplies,Polyamide
Industrial Supplies,Diesel fuel
Industrial Supplies,Gasoline or Petrol
Industrial Supplies,Paint or varnish thinners
Industrial Supplies,Laboratory microchemistry kits
Industrial Supplies,General purpose cleaners
Industrial Supplies,Chemical management service
Industrial Supplies,Electrical wire
Industrial Supplies,Printed circuits and integrated circuits and microassemblies
Industrial Supplies,Integrated circuits
Industrial Supplies,Discrete semiconductor devices
Industrial Supplies,Diodes
Industrial Supplies,Transistors
Industrial Supplies,Semiconductor devices
Industrial Supplies,Passive discrete components
Industrial Supplies,Capacitors
Industrial Supplies,Resistors
Industrial Supplies,Discrete components
Industrial Supplies,Signal filters
Industrial Supplies,Resonators
Industrial Supplies,Electronic hardware and component parts and accessories
Industrial Supplies,Electron tube devices and accessories
Industrial Supplies,Electron Tubes
Industrial Supplies,Electron tube parts and accessories
Industrial Supplies,Automation control devices and components and accessories
Industrial Supplies,Control indicating and signaling devices
Industrial Supplies,Programmable logic controller subsystems
Industrial Supplies,Programmable Logic Controllers
Industrial Supplies,Safety control devices
Industrial Supplies,Automation control connectivity devices
Industrial Supplies,Process control or packaged automation systems
Industrial Supplies,Lamps and lightbulbs and lamp components
Industrial Supplies,Lamps and lightbulbs
Industrial Supplies,Fluorescent lamps
Industrial Supplies,Light emitting diode LED lamp
Industrial Supplies,Lamp components and accessories
Industrial Supplies,Lamp Ballasts and Lamp Transformers
Industrial Supplies,Fluorescent ballast
Industrial Supplies,Lighting Fixtures and Accessories
Industrial Supplies,Interior lighting fixtures and accessories
Industrial Supplies,Fluorescent high bay fixture
Industrial Supplies,Light emitting diode LED fixture
Industrial Supplies,Exterior lighting fixtures and accessories
Industrial Supplies,Outdoor lighting accessories
Industrial Supplies,Emergency lighting and accessories
Industrial Supplies,Strobe or warning lights
Industrial Supplies,Emergency Lighting Accessories
Industrial Supplies,Lighting accessories
Industrial Supplies,Portable and Temporary Lighting and accessories
Industrial Supplies,Electrical equipment and components and supplies
Industrial Supplies,Power conditioning equipment
Industrial Supplies,Power supply units
Industrial Supplies,Distribution and control centers and accessories
Industrial Supplies,Electrical boxes and enclosures and fittings and accessories
Industrial Supplies,Electrical boxes
Industrial Supplies,Circuit breaker enclosure
Industrial Supplies,Electrical fittings
Industrial Supplies,Electrical lugs plugs and connectors
Industrial Supplies,Electrical plugs
Industrial Supplies,Wire connectors
Industrial Supplies,Electrical terminals
Industrial Supplies,Electrical controls and accessories
Industrial Supplies,Motor starter controls
Industrial Supplies,Electrical contacts
Industrial Supplies,Encoders
Industrial Supplies,Photoelectric sensors
Industrial Supplies,Contactors
Industrial Supplies,Circuit protection devices and accessories
Industrial Supplies,Circuit breakers
Industrial Supplies,Electronic fuse
Industrial Supplies,Fuse holder
Industrial Supplies,Circuit interruptor
Industrial Supplies,Electrical hardware and supplies
Industrial Supplies,Electrical safety devices and accessories
Industrial Supplies,Electrical Variable Speed Drives
Industrial Supplies,Motor control drive DC
Industrial Supplies,Servo control drive
Industrial Supplies,Electrical transmission and distribution equipment
Industrial Supplies,Electrical switches and accessories
Industrial Supplies,Safety switch
Industrial Supplies,Pressure switch
Industrial Supplies,Limit switch
Industrial Supplies,Micro switch
Industrial Supplies,Electrical relays and accessories
Industrial Supplies,Time relay
Industrial Supplies,Electrical measuring and testing equipment and accessories
Industrial Supplies,Insulated winding wire
Industrial Supplies,Digital integrated circuits
Industrial Supplies,Power diodes
Industrial Supplies,Transistor chips
Industrial Supplies,Vacuum capacitor
Industrial Supplies,Power resistor
Industrial Supplies,Ferrites
Industrial Supplies,Crystal filter
Industrial Supplies,Programmable Logic Controller Accessories
Industrial Supplies,Safety light curtain and scanner
Industrial Supplies,Control system wiring
Industrial Supplies,Control cable
Industrial Supplies,Fiber optic cable
Industrial Supplies,Telecommunications cable
Industrial Supplies,Copper cable
Industrial Supplies,Proximity sensors
Industrial Supplies,Electrical power sensors
Industrial Supplies,Cable tie gun
Industrial Supplies,Extruded aluminum end formed tube
Industrial Supplies,Heater elements
Industrial Supplies,Battery testers
Industrial Supplies,Battery holders
Industrial Supplies,Buzzers
Industrial Supplies,Refrigerant
Industrial Supplies,Water filters
Industrial Supplies,Dust collectors
Industrial Supplies,Oil filters
Industrial Supplies,Air filters
Industrial Supplies,Steel
Industrial Supplies,Aluminum
Industrial Supplies,Hardwoods
Industrial Supplies,Plywood
Industrial Supplies,Latex rubber
Industrial Supplies,Acetal polymer
Industrial Supplies,Plastic resins
Industrial Supplies,Hammers
Industrial Supplies,Wrenches and drivers
Industrial Supplies,Screwdrivers
Industrial Supplies,Hex keys
Industrial Supplies,Ratchets
Industrial Supplies,Wrench set
Industrial Supplies,Multi tool pliers
Industrial Supplies,Brushes
Industrial Supplies,Pneumatic tools
Industrial Supplies,Chains
Industrial Supplies,Straps
Industrial Supplies,Dowel pin
Industrial Supplies,Springs
Industrial Supplies,Nails
Industrial Supplies,Anchors
Industrial Supplies,Rivets
Industrial Supplies,Miscellaneous fasteners
Industrial Supplies,Retaining hardware
Industrial Supplies,Industrial wheels
Industrial Supplies,Tape
Industrial Supplies,Trash bags
Industrial Supplies,Brooms
Industrial Supplies,Restroom supplies
Industrial Supplies,Anti fatigue mats
Industrial Supplies,Hand towels
Industrial Supplies,Soaps
Industrial Supplies,Hand cleaner
Industrial Supplies,Plastics or resins or fibers manufacturing services
Industrial Supplies,Industrial machinery components and accessories
Industrial Supplies,Electronic assembly machinery and support equipment
Industrial Supplies,Metal forming machinery and accessories
Industrial Supplies,Wire working machinery and equipment and accessories
Industrial Supplies,Industrial machinery components and accessories
Industrial Supplies,Industrial machinery components and accessories
Industrial Supplies,Industrial machinery components and accessories
Industrial Supplies,Industrial machinery components and accessories
Industrial Supplies,Welding and soldering and brazing accessories
Industrial Supplies,Industrial machinery components and accessories
Industrial Supplies,Industrial machinery components and accessories
Industrial Supplies,Industrial machinery components and accessories
Industrial Supplies,Industrial machinery components and accessories
Industrial Supplies,Industrial machinery components and accessories
Industrial Supplies,Kinetic power transmission
Industrial Supplies,Drive components
Industrial Supplies,V belts
Industrial Supplies,Geared timing belts
Industrial Supplies,Round belts
Industrial Supplies,Flat belts
Industrial Supplies,Belt tensioners
Industrial Supplies,Transmission pulleys
Industrial Supplies,Timing pulley
Industrial Supplies,Trantorque
Industrial Supplies,Belt guards
Industrial Supplies,Timing pulley flanges
Industrial Supplies,Synchronous belt
Industrial Supplies,Synchronous pulley
Industrial Supplies,Variable speed pulley
Industrial Supplies,Hexagonal belt
Industrial Supplies,Cone pulley
Industrial Supplies,Flat pulley
Industrial Supplies,Hydraulic cylinders and pistons
Industrial Supplies,Cylinder pistons
Industrial Supplies,Hydraulic cylinders
Industrial Supplies,Hydraulic cylinder piston rods
Industrial Supplies,Hydraulic cylinder or component repair kits
Industrial Supplies,Hydraulic cylinder barrels
Industrial Supplies,Mounting bases for hydraulic cylinders
Industrial Supplies,Hydraulic hose and tube fittings
Industrial Supplies,Hydraulic quick connectors
Industrial Supplies,Hydraulic tees or crosses
Industrial Supplies,Hydraulic unions
Industrial Supplies,Hydraulic or compression elbows
Industrial Supplies,Air fittings and connectors
Industrial Supplies,Pneumatic cylinders and components
Industrial Supplies,Pneumatic cylinders
Industrial Supplies,Pneumatic cylinder rod accessories
Industrial Supplies,Pneumatic cylinder pistons
Industrial Supplies,Pneumatic cylinder piston rods
Industrial Supplies,Pneumatic cylinder barrel
Industrial Supplies,Pneumatic cylinder end caps
Industrial Supplies,Pneumatic cylinder or component repair kits
Industrial Supplies,Mounting bases for pneumatic cylinder
Industrial Supplies,Pneumatic cylinder cushion rings
Industrial Supplies,Actuators
Industrial Supplies,Hydraulic actuators
Industrial Supplies,Pneumatic actuators
Industrial Supplies,Valve actuators
Industrial Supplies,Gear actuators
Industrial Supplies,Rotary actuators
Industrial Supplies,Actuator kit
Industrial Supplies,Safety footwear
Industrial Supplies,Face and head protection
Industrial Supplies,Vision protection and accessories
Industrial Supplies,Hearing protectors
Industrial Supplies,Respiratory protection
Industrial Supplies,Anti static equipment and supplies
Industrial Supplies,Safety harnesses or belts
Industrial Supplies,Metal cutters
Industrial Supplies,Stripping tools
Industrial Supplies,Wire cutters
Industrial Supplies,Threading dies
Industrial Supplies,Threading taps
Industrial Supplies,Machine reamer
Industrial Supplies,End mills
Industrial Supplies,Sharpening stones or tools or kits
Industrial Supplies,Drill carbide
Industrial Supplies,Indexable insert
Industrial Supplies,Indexable tool bodies or holders
Industrial Supplies,Professional procurement services
Industrial Supplies,Abrasive papers
Industrial Supplies,Buffs
Industrial Supplies,Abrasive discs
Industrial Supplies,Abrasive belts
Industrial Supplies,Abrasive stones
Industrial Supplies,Shot blast
Industrial Supplies,Abrasive brush
Industrial Supplies,Sharpening stones or tools or kits
Industrial Supplies,Professional procurement services
Industrial Supplies,Inert gas mixtures
Industrial Supplies,Nitrogen N
Information Technologies,Personal communication devices
Information Technologies,Mobile phones
Information Technologies,Pagers
Information Technologies,Personal communications device accessories or parts
Information Technologies,Wireless network interface cards 
Information Technologies, Telecom equipment maintenance or support 
Information Technologies, Network voice service 
Information Technologies, Switched dial up and leased dedicated line circuit telecommunications services 
Information Technologies,Bar code reader equipment 
Information Technologies,Bar code printer 
Information Technologies,Multi function printers 
Information Technologies,Computer Equipment and Accessories
Information Technologies,Computers
Information Technologies,Computer servers
Information Technologies,High end computer servers
Information Technologies,Notebook computers
Information Technologies,Thin client computers
Information Technologies,Desktop computers
Information Technologies,Personal computers
Information Technologies,Tablet computers
Information Technologies,Mainframe console or dumb terminals
Information Technologies,Mainframe computers
Information Technologies,Computer workstation
Information Technologies,Electronic reader or E-reader
Information Technologies,Components for information technology or broadcasting or telecommunications
Information Technologies,System Cards
Information Technologies,Media storage devices
Information Technologies,Media storage device accessories
Information Technologies,Computer accessories
Information Technologies,Docking stations
Information Technologies,Multimedia kits
Information Technologies,Computer speakers
Information Technologies,Universal serial bus hubs or connectors
Information Technologies,Notebook computer carrying case
Information Technologies,Computer data input devices
Information Technologies,Bar code reader equipment
Information Technologies,Magnetic stripe readers and encoders
Information Technologies,Keyboards
Information Technologies,Light stylus
Information Technologies,Computer mouse or trackballs
Information Technologies,Scanners
Information Technologies,Graphics tablets
Information Technologies,Touch pads
Information Technologies,Portable data input terminals
Information Technologies,Camera based vision systems for automated data collection
Information Technologies,Computer peripheral kit
Information Technologies,Digital pen
Information Technologies,Data acquisition system
Information Technologies,Computer data input device accessories
Information Technologies,Mouse pads
Information Technologies,Keyboard wrist rest
Information Technologies,Mouse wrist rest
Information Technologies,Computer displays
Information Technologies,Liquid crystal display LCD panels or monitors
Information Technologies,Touch screen monitors
Information Technologies,Computer printers
Information Technologies,Dot matrix printers
Information Technologies,Inkjet printers
Information Technologies,Laser printers
Information Technologies,Plotter printers
Information Technologies,Thermal tape printers
Information Technologies,Multi function printers
Information Technologies,Digital image printers
Information Technologies,Bar code printer
Information Technologies,Radio frequency identification RFID tag printer
Information Technologies,Radio frequency identification RFID tag printer
Information Technologies,Printer controller
Information Technologies,Software or hardware engineering
Information Technologies,Mainframe software applications design
Information Technologies,Personal computer PC application design
Information Technologies,Systems integration design
Information Technologies,Application programming services
Information Technologies,Operating system programming services
Information Technologies,Client or server programming services
Information Technologies,ERP or database applications programming services
Information Technologies,Application implementation services
Information Technologies,Internet or intranet client application development services
Information Technologies,Internet or intranet server application development services
Information Technologies,System or application programming management service
Information Technologies,Computer programmers
Information Technologies,Management information systems MIS
Information Technologies,System and system component administration services
Information Technologies,Computer hardware maintenance and support
Information Technologies,Computer hardware rental or leasing services
Information Technologies,Computer software licensing rental or leasing service
Information Technologies,Computer programmers
Information Technologies,Management information systems MIS
Information Technologies,System and system component administration services
Information Technologies,Wide area network WAN maintenance or support 
Information Technologies,Data services
Information Technologies,Software maintenance and support
Information Technologies,Information Technology Service Delivery
Information Technologies,Electronic mail and messaging services
Information Technologies,Business function specific software
Information Technologies,Human resources software
Information Technologies,Materials requirements planning logistics and supply chain software
Information Technologies,Project management software
Information Technologies,Bar coding software
Information Technologies,Label making software
Information Technologies,License management software
Information Technologies,Office suite software
Information Technologies,Sales and marketing software
Information Technologies,Audit software
Information Technologies,Finance accounting and enterprise resource planning ERP software
Information Technologies,Accounting software
Information Technologies,Enterprise resource planning ERP software
Information Technologies,Financial analysis software
Information Technologies,Content authoring and editing software
Information Technologies,Content management software
Information Technologies,Content workflow software
Information Technologies,Data management and query software
Information Technologies,Data management and query software
Information Technologies,Customer relationship management CRM software
Information Technologies,Data base management system software
Information Technologies,Data base reporting software
Information Technologies,Data mining software
Information Technologies,Metadata management software
Information Technologies,Development software
Information Technologies,Facilities management software
Information Technologies,Computer aided design CAD software
Information Technologies,Analytical or scientific software
Information Technologies,Compliance software
Information Technologies,Computer aided manufacturing CAM software
Information Technologies,Manufacturing execution system MES software
Information Technologies,Legal management software
Information Technologies,Network applications software
Information Technologies,Application server software
Information Technologies,Network management software
Information Technologies,Network monitoring software
Information Technologies,Optical network management software
Information Technologies,Networking software
Information Technologies,Communications server software
Information Technologies,WAN switching software and firmware
Information Technologies,Network connectivity terminal emulation software
Information Technologies,Operating environment software
Information Technologies,Virtual machine software
Information Technologies,Security and protection software
Information Technologies,Network security or virtual private network VPN management software
Information Technologies,Network security and virtual private network VPN equipment software
Information Technologies,Transaction security and virus protection software
Information Technologies,Data conversion software
Information Technologies,Text to speech conversion software
Information Technologies,Information exchange software
Information Technologies,Mobile internet services software
Information Technologies,Electrical Equipment software
Information Technologies,System management software
Information Technologies,Enterprise system management software
Information Technologies,Software maintenance and support
Information Technologies,Operating system software maintenance
Information Technologies,Security and protection software maintenance
Information Technologies,Development software maintenance
Information Technologies,Enterprise resource planning software maintenance
Information Technologies,Customer relationship management software maintenance
Information Technologies,Accounting software maintenance
Information Technologies,Computer software licensing rental or leasing service
Logistics,General goods storage
Logistics,Specialized warehousing and storage
Logistics,Customs bonded storage services
Logistics,Freight forwarders services
Logistics,Supplier or vendor managed freight and rebilling
Logistics,Freight loading or unloading
Logistics,Road cargo transport
Logistics,Freight fee
Logistics,Letter or small parcel local delivery services
Logistics,Letter or small parcel worldwide delivery services
Logistics,Marine cargo transport
Logistics,International vessel transport services
Logistics,International air cargo transport
Machinery Equipment,Robotics
Machinery Equipment,Paint robots
Machinery Equipment,Pick or place robots
Machinery Equipment,Sealant adhesive robots
Machinery Equipment,Welding robots
Machinery Equipment,Machine tending robot
Machinery Equipment,Material removal robot
Machinery Equipment,Cleaning robot
Machinery Equipment,Chip placers
Machinery Equipment,Glue dispensing machinery
Machinery Equipment,Terminal insertion machine
Machinery Equipment,Semiconductor process systems
Machinery Equipment,Printed circuit board making system
Machinery Equipment,Wafer wire bonder
Machinery Equipment,Semiconductor chip inspection monitor
Machinery Equipment,Electrochemical machine ECM
Machinery Equipment,Wire cathode electrode discharge machine
Machinery Equipment,Grinding machines
Machinery Equipment,Honing machine
Machinery Equipment,Metal grinding machines
Machinery Equipment,Metal cutting machines
Machinery Equipment,Metal cutting tools
Machinery Equipment,Boring tool
Machinery Equipment,Broach
Machinery Equipment,Countersink tool or counterbore tool
Machinery Equipment,Drill carbide
Machinery Equipment,Drills high speed steel
Machinery Equipment,Reamer
Machinery Equipment,Shaper cutter
Machinery Equipment,Solid milling cutter
Machinery Equipment,Taps
Machinery Equipment,Taper pin reamer
Machinery Equipment,Tower bolt reamer
Machinery Equipment,Rod saw blade
Machinery Equipment,Single angle cutter
Machinery Equipment,Side milling cutter
Machinery Equipment,Plain milling cylindrical cutter
Machinery Equipment,Shell end milling cutter
Machinery Equipment,Convex cutter
Machinery Equipment,Concave cutter
Machinery Equipment,Corner rounding cutter
Machinery Equipment,Metal slitting saw
Machinery Equipment,T slot cutter
Machinery Equipment,Woodruff seat cutter
Machinery Equipment,Jobber length drill
Machinery Equipment,Screw machine drill
Machinery Equipment,Silver and deming drill
Machinery Equipment,Extra length or longboy drill
Machinery Equipment,Carbide tipped hole cutter
Machinery Equipment,Taper shank drill
Machinery Equipment,Multi step drill
Machinery Equipment,Mult step hex step drill
Machinery Equipment,Speed threader
Machinery Equipment,Hex shank reamer
Machinery Equipment,Straight shank chucking reamer
Machinery Equipment,Adjustable reamer
Machinery Equipment,Taper shank chucking reamer
Machinery Equipment,Metal drilling machines
Machinery Equipment,Drill press or radial drill
Machinery Equipment,Gang drilling machine
Machinery Equipment,Gun drilling machine
Machinery Equipment,Numerically controlled drilling machine
Machinery Equipment,Rotary table drilling machine
Machinery Equipment,Multiple spindle head drilling machine
Machinery Equipment,Radial arm drilling machine
Machinery Equipment,Deep hole drilling machine
Machinery Equipment,Bench drilling machine
Machinery Equipment,Metal boring machines
Machinery Equipment,Horizontal boring machine
Machinery Equipment,Jig boring machine
Machinery Equipment,Metal broaching machines
Machinery Equipment,Internal broaching machine
Machinery Equipment,Surface broaching machine
Machinery Equipment,Vertical boring machine
Machinery Equipment,Metal cutting machine attachments
Machinery Equipment,Lathes and turning centers
Machinery Equipment,Automatic bar machine
Machinery Equipment,Automatic lathe or chucking machine
Machinery Equipment,Horizontal turning center
Machinery Equipment,Tracer or duplicating or contouring lathe
Machinery Equipment,Turret lathe
Machinery Equipment,Vertical turning center
Machinery Equipment,Leadscrew
Machinery Equipment,Centering machine
Machinery Equipment,Machining centers
